,common name,red_mean,red_var,blue_mean,blue_var,green_mean,green_var,area,perimeter,length,width,aspect ratio,form factor,rectangularity,perimeter ratio of length and width,contrast,correlation,entropy,inverse difference moments
0,anhui barberry,234.46986979166667,53.3578174966322,230.05042708333335,64.79423814424081,242.29289166666666,33.30124644020997,247343.5,2581.7169407606125,315.2433166503906,1118.116455078125,0.28194139815996533,0.4663297438485231,1.4250576210824446,1.8011646424590746,10.269227224077794,0.9971982804284447,1.9137991885857613,0.8977091883622399
1,anhui barberry,239.07892239583333,54.04167771368332,237.20907395833333,59.9773139451905,244.5334453125,35.62307014004759,150157.5,2290.212326645851,1046.2691650390625,215.47799682617188,4.855573100037206,0.35975380609562524,1.5014100782419033,1.8151119303967698,5.256503880526877,0.9986364412714173,1.3343220231697366,0.9347446531936074
2,anhui barberry,218.29014270833332,69.07540845065972,214.2531828125,76.17250196938487,221.82294895833334,63.52073330164433,416083.0,3027.253080368042,1318.95751953125,438.2836608886719,3.009369586940357,0.5705482485753195,1.3893322491349038,1.7227305586161086,5.071890280631331,0.9994238400936326,3.1696921652807877,0.8389523070076925
3,anhui barberry,217.35125677083334,67.0433545242811,212.5491609375,74.40668413266975,223.30209427083332,57.40287415667756,447874.0,3194.87544465065,483.0,1385.0,0.34873646209386283,0.5513886887057903,1.4936232065268358,1.71031876051962,4.5594788359708165,0.9994058829286268,4.0247358482298825,0.7988124789213706
4,anhui barberry,218.14405416666668,74.60219003334997,211.53346197916667,87.12043543210333,232.04357760416667,46.65710472484247,370707.0,2981.7139763832092,1299.9852294921875,417.07183837890625,3.1169336067978817,0.5239727347612063,1.462576184236421,1.7365258453990176,5.480716965394256,0.99922777701382,2.8637360535997534,0.8494415354445236
5,anhui barberry,222.6807328125,64.47257150351214,219.576921875,69.8316900788972,230.576409375,49.63557501873779,374671.5,2999.2703253030777,1298.8258056640625,425.8597412109375,3.0498910321291115,0.5233946773427489,1.4762735395624835,1.7390244446226903,4.882668628179616,0.9992260489444825,3.5187692733981866,0.8204866247136013
6,anhui barberry,219.88060885416667,72.99186353360527,216.08720885416668,80.24057117721001,230.35861875,51.83996698462625,354257.0,2902.05712223053,1263.0968017578125,401.9194030761719,3.1426619170173034,0.528586894689872,1.4330362211330243,1.7429602869960588,5.232227947609781,0.9993031124273738,2.838240973982619,0.8557995962504799
7,anhui barberry,222.52043229166668,66.69063394089252,218.27901354166667,74.64669447628098,233.19281666666666,45.08079423915526,359722.5,2816.1576274633408,1210.084716796875,407.8244934082031,2.967170281226015,0.569985158664839,1.3718969111153583,1.7406153631490722,4.380442078278005,0.9992721018249855,3.0456887852285197,0.8445408302465993
8,anhui barberry,219.69538125,69.92570752621798,214.75091458333333,79.3636621508663,232.77271927083333,44.19304562361575,383190.0,3012.341392993927,1318.168701171875,424.4031066894531,3.1059355607790438,0.5306591436452123,1.459941261301561,1.728675615779069,5.05024971244973,0.999191287855338,2.9091822292002445,0.8464316884678942
9,anhui barberry,219.32309427083334,66.84781282407818,215.54923489583334,73.68957914714514,230.9805671875,45.13383794997896,419042.5,3190.5251585245132,1411.46728515625,410.3881530761719,3.439347053700813,0.5173013228572713,1.3823167155663492,1.7512504513640146,4.854455929965308,0.9991938509607504,3.0203857108912606,0.8394813301029969
